order_id,customer_email,product_sku,quantity,unit_price,discount_pct,order_date,ship_date,region,status
ORD-20000,user_at_example.com,SKU-1045,7,1775.87,0.06,2025-03-06,,Region IV-A,delivered
ORD-20001,user1@example.com,SKU-1039,9,1304.84,0.32,2025-12-08,2025-12-10,Region VII,shipped
ORD-20002,user2@example.com,SKU-1055,7,2156.9,0.39,2025-04-15,,NCR,cancelled
ORD-20003,user3@example.com,SKU-1047,4,2243.89,0.2,2025-08-15,2025-08-16,NCR,PROCESSING
ORD-20004,user4@example.com,SKU-1059,3,283.0,0.0,2025-05-03,,Region III,cancelled
ORD-20005,user5@example.com,SKU-1009,3,1796.55,1.1,2025-12-05,2025-12-11,Region XI,cancelled
ORD-20006,user6@example.com,SKU-1002,1,1545.48,0.18,2025-10-22,2025-10-26,CAR,delivered
ORD-20007,user7@example.com,SKU-1024,7,276.24,0.26,2025-11-11,2025-11-16,Region IV-A,cancelled
ORD-20008,,SKU-1030,9,1590.27,0.17,2025-06-29,2025-07-04,Region XI,processing
ORD-20009,user9@example.com,SKU-1047,8,1454.77,0.17,2025-07-30,2025-08-01,Region IV-A,cancelled
ORD-20010,user10@example.com,SKU-1022,9,2189.87,0.36,2025-04-02,2025-04-08,Region VII,shipped
ORD-20011,user11@example.com,SKU-1056,1,2191.45,0.13,2025-07-03,,Region XI,pending
ORD-20012,not-an-email,SKU-1049,1,808.0,0.14,2025-10-07,2025-10-15,Region XI,shipped
ORD-20013,user13@example.com,SKU-1030,8,1192.05,0.24,2025-04-28,2025-04-30,Region IV-A,pending
ORD-20014,user14@example.com,SKU-1002,8,1502.41,0.01,2025-07-18,2025-07-21,CAR,shipped
ORD-20015,user15@example.com,SKU-1018,5,2773.41,0.19,2025-12-13,2025-12-15,Region VII,processing
ORD-20016,user16@example.com,SKU-1033,7,1194.88,0.07,2025-08-02,2025-08-04,Region III,PROCESSING
ORD-20017,user17@example.com,SKU-1053,9,2681.8,0.13,2025-12-23,2025-12-31,Region XI,shipped
ORD-20018,user18@example.com,SKU-1027,1,1130.79,,2025-11-05,,Region III,cancelled
ORD-20019,user19@example.com,SKU-1024,4,2394.0,0.35,2025-08-26,2025-09-04,Region IV-A,shipped
ORD-20020,user20@example.com,SKU-1027,1,562.24,0.21,2025-10-16,2025-10-23,Region III,pending
ORD-20021,user21@example.com,SKU-1001,3,2216.6,0.21,2025-02-05,2025-02-11,Region III,cancelled
ORD-20022,user22@example.com,SKU-1014,2,184.66,0.31,2025-01-11,2025-01-18,CAR,delivered
ORD-20023,user23@example.com,SKU-1009,4,2303.27,0.06,2025-03-06,2025-03-08,Region XI,shipped
ORD-20024,user24@example.com,SKU-1009,8,-99.0,0.24,2025-03-02,2025-03-08,CAR,pending
ORD-20025,user25@example.com,SKU-1019,1,113.23,,2025-12-15,2025-12-21,Region XI,cancelled
ORD-20026,user26@example.com,SKU-1022,8,886.87,0.12,2025-06-11,,Region XI,processing
ORD-20027,user27@example.com,SKU-1047,6,299.55,,2025-12-14,,NCR,cancelled
ORD-20028,user28@example.com,SKU-1020,five,2257.53,0.3,2025-06-21,,NCR,delivered
ORD-20029,user29@example.com,SKU-1026,8,246.72,0.09,2025-04-29,2025-05-07,Region XI,cancelled
ORD-20030,user30@example.com,SKU-1034,9,772.51,0.04,2025-08-14,2025-08-23,Region VII,processing
ORD-20031,user31@example.com,SKU-1028,5,2605.06,,2025-04-18,2025-04-22,Region III,delivered
ORD-20032,user32@example.com,SKU-1023,5,1166.22,0.02,2025-05-13,,Region XI,processing
ORD-20033,user33@example.com,SKU-1058,9,134.59,,2025-08-04,2025-08-05,Region IV-A,shipped
ORD-20034,user34@example.com,SKU-1056,8,2165.36,0.08,2025-02-17,2025-02-18,Region VII,processing
ORD-20035,user_at_example.com,SKU-1027,9,1842.44,0.38,2025-03-07,2025-03-10,CAR,processing
ORD-20036,,SKU-1052,2,1902.64,0.14,2025-10-04,,Region XI,cancelled
ORD-20037,user37@example.com,SKU-1004,five,2894.82,0.16,2025-07-15,,Region IV-A,cancelled
ORD-20038,user38@example.com,SKU-1017,5,209.35,1.71,2025-02-26,2025-02-28,Region XI,delivered
ORD-20039,user39@example.com,SKU-1024,8,-99.0,0.02,2025-11-05,2025-11-08,Region III,pending
ORD-20040,user40@example.com,SKU-1017,7,868.79,0.38,2025-09-08,2025-09-10,CAR,pending
  ORD-20041,user41@example.com,SKU-1023,7,935.9,0.38,2025-09-05,,NCR,pending
  ORD-20042,user42@example.com,SKU-1004,6,0.0,0.3,2025-11-19,2025-11-24,Region III,shipped
ORD-20043,user43@example.com,SKU-1052,5,1781.9,0.22,2025-01-26,2025-02-01,Region VII,shipped
ORD-20044,user44@example.com,SKU-1051,2,225.17,0.36,2025-03-03,2025-03-10,NCR,processing
ORD-20045,,SKU-1049,8,533.41,0.06,2025-07-14,2025-07-15,Region VII,shipped
ORD-20046,user_at_example.com,SKU-1027,6,1489.78,,2025-01-11,2025-01-14,,shipped
  ORD-20047,user47@example.com,SKU-1010,3,2626.3,,2025-04-20,2025-04-21,NCR,delivered
ORD-20048,user48@example.com,SKU-1029,8,-99.0,0.32,2025-06-17,2025-06-24,Region VII,pending
ORD-20049,user49@example.com,SKU-1017,6,2327.61,0.14,2025-03-05,2025-03-08,CAR,pending
