Customer ID,Customer Name,Segment
CU-10030,Rita Parker,Consumer
CU-10013,Henry Reed,Consumer
CU-10057,Jack Moore,Corporate
CU-10054,Ivy Parker,Corporate
CU-10118,Maria Johnson,Consumer
CU-10033,Rita Irwin,Home Office
CU-10096,Leo Irwin,Home Office
CU-10116,Aaron Quintana,Consumer
CU-10040,Rita Johnson,Consumer
CU-10092,Ivy Johnson,Consumer
CU-10004,Derek Chavez,Corporate
CU-10086,Olivia Parker,Consumer
CU-10006,Nathan Quintana,Home Office
CU-10062,Quinn Moore,Consumer
CU-10024,Maria Quintana,Home Office
CU-10010,Jack Irwin,Consumer
CU-10078,Brian Moore,Home Office
CU-10065,Karen Moore,Consumer
CU-10074,Paul Chavez,Consumer
CU-10109,Henry Turner,Consumer
CU-10061,Maria Kim,Home Office
CU-10071,Elena Johnson,Home Office
CU-10011,Carla Turner,Corporate
CU-10110,Brian Kim,Corporate
CU-10073,Aaron Foster,Consumer
CU-10015,Ivy Foster,Consumer
CU-10104,Elena Quintana,Home Office
CU-10084,Frank Bennett,Home Office
CU-10050,Paul Evans,Home Office
CU-10085,Brian Chavez,Consumer
CU-10039,Karen Ortiz,Consumer
CU-10023,Henry Silva,Home Office
CU-10048,Derek Ortiz,Corporate
CU-10082,Henry Reed,Corporate
CU-10002,Henry Silva,Consumer
CU-10077,Henry Ortiz,Home Office
CU-10035,Olivia Evans,Corporate
CU-10026,Grace Kim,Corporate
CU-10091,Ivy Ortiz,Corporate
CU-10053,Olivia Ortiz,Consumer
CU-10081,Henry Johnson,Consumer
CU-10102,Ivy Garcia,Corporate
CU-10066,Alice Moore,Consumer
CU-10041,Carla Reed,Corporate
CU-10103,Olivia Ward,Corporate
CU-10051,Paul Bennett,Consumer
CU-10068,Leo Bennett,Consumer
CU-10032,Henry Hughes,Consumer
CU-10038,Frank Foster,Consumer
CU-10027,Ivy Bennett,Corporate
CU-10029,Nathan Ortiz,Corporate
CU-10101,Ivy Ortiz,Consumer
CU-10095,Maria Nguyen,Home Office
CU-10049,Leo Diaz,Corporate
CU-10112,Nathan Hughes,Consumer
CU-10064,Karen Nguyen,Corporate
CU-10046,Paul Irwin,Consumer
CU-10036,Ivy Diaz,Corporate
CU-10117,Ivy Parker,Home Office
CU-10106,Olivia Johnson,Home Office
CU-10070,Sam Foster,Corporate
CU-10009,Paul Kim,Consumer
CU-10003,Alice Ortiz,Corporate
CU-10099,Frank Ward,Home Office
CU-10019,Elena Nguyen,Corporate
CU-10079,Jack Quintana,Home Office
CU-10111,Nathan Foster,Consumer
CU-10090,Rita Evans,Corporate
CU-10018,Quinn Reed,Consumer
CU-10087,Maria Kim,Consumer
CU-10020,Carla Quintana,Home Office
CU-10034,Alice Kim,Corporate
CU-10083,Frank Evans,Home Office
CU-10069,Frank Johnson,Consumer
CU-10012,Olivia Nguyen,Consumer
CU-10037,Maria Kim,Home Office
CU-10007,Nathan Quintana,Corporate
CU-10055,Elena Quintana,Corporate
CU-10056,Karen Kim,Home Office
CU-10063,Alice Quintana,Home Office
CU-10052,Olivia Quintana,Home Office
CU-10060,Henry Ortiz,Corporate
CU-10031,Grace Ward,Consumer
CU-10028,Jack Evans,Corporate
CU-10089,Rita Lopez,Corporate
CU-10043,Alice Hughes,Corporate
CU-10005,Jack Ward,Consumer
CU-10000,Alice Quintana,Consumer
CU-10100,Grace Turner,Corporate
CU-10008,Jack Diaz,Home Office
CU-10105,Elena Parker,Consumer
CU-10014,Jack Johnson,Corporate
CU-10113,Paul Moore,Corporate
CU-10107,Nathan Garcia,Home Office
CU-10080,Sam Ortiz,Consumer
CU-10088,Nathan Evans,Consumer
CU-10016,Alice Moore,Home Office
CU-10042,Leo Parker,Home Office
CU-10067,Olivia Hughes,Corporate
CU-10025,Olivia Evans,Corporate
CU-10022,Alice Ward,Consumer
CU-10021,Nathan Irwin,Consumer
CU-10044,Olivia Reed,Corporate
CU-10093,Carla Irwin,Home Office
CU-10076,Rita Garcia,Home Office
CU-10094,Derek Hughes,Corporate
CU-10045,Henry Reed,Home Office
CU-10047,Quinn Garcia,Corporate
CU-10058,Aaron Diaz,Consumer
CU-10059,Derek Diaz,Consumer
CU-10017,Quinn Chavez,Consumer
CU-10097,Sam Chavez,Consumer
CU-10001,Maria Johnson,Corporate
CU-10119,Frank Nguyen,Home Office
CU-10072,Sam Silva,Consumer
CU-10115,Ivy Silva,Home Office
CU-10098,Frank Diaz,Consumer
CU-10075,Quinn Garcia,Corporate
CU-10108,Alice Chavez,Consumer
CU-10114,Jack Evans,Home Office
