OrderID,OrderDate,Customer,City,Region,Product,Qty,UnitPrice,Amount,PaymentMethod,Status
ORD-M202605-1000,13/05/2026,Teresa Villanueva,Malolos,Central Luzon,C2 Green Tea 500ml,1,22.0,22.0,Cash,Delivered
ORD-M202605-1001,25/05/2026,Manuel Villanueva,Tarlac City,Central Luzon,Palmolive Shampoo Sachet,19,6.0,114.0,Cash,Delivered
ORD-M202605-1002,10/05/2026,Pedro Santos,Iloilo City,Western Visayas,Domex Toilet Cleaner,20,55.0,1100.0,GCash,Delivered
ORD-M202605-1003,21/05/2026,Juan Villanueva,Iloilo City,Western Visayas,Coca-Cola 1.5L,13,65.0,845.0,Cash,Cancelled
ORD-M202605-1004,18/05/2026,Josefina Santos,Bacolod,Western Visayas,Nova Multigrain 78g,9,30.0,270.0,Cash,Delivered
ORD-M202605-1005,07/05/2026,Josefina Cruz,Makati,NCR,CDO Corned Beef,13,33.0,429.0,Cash,Delivered
ORD-M202605-1006,23/05/2026,Manuel Villanueva,Tarlac City,Central Luzon,555 Sardines,13,22.0,286.0,COD,Delivered
ORD-M202605-1007,10/05/2026,Carmen Mendoza,Malolos,Central Luzon,CDO Corned Beef,16,33.0,528.0,COD,Delivered
ORD-M202605-1008,05/05/2026,Eduardo Pascual,Tarlac City,Central Luzon,C2 Green Tea 500ml,4,22.0,88.0,Cash,Delivered
ORD-M202605-1009,19/05/2026,Rosa Cruz,Tarlac City,Central Luzon,Boy Bawang 100g,17,18.0,306.0,GCash,Delivered
ORD-M202605-1010,13/05/2026,Ricardo Ocampo,quezon city,NCR,ILUV Ballpen,16,10.0,160.0,GCash,Delivered
ORD-M202605-1011,07/05/2026,Antonio Santos,Iloilo City,Western Visayas,ILUV Ballpen,2,10.0,20.0,Cash,Delivered
ORD-M202605-1012,09/05/2026,Luz Castillo,Calamba,CALABARZON,Palmolive Shampoo Sachet,5,6.0,30.0,GCash,Delivered
ORD-M202605-1013,25/05/2026,Ricardo Bautista,Tagum,Davao Region,Lucky Me Pancit Canton Noodles,7,14.0,98.0,GCash,Delivered
ORD-M202605-1014,17/05/2026,Pedro Reyes,Tagum,Davao Region,Nescafe 3-in-1 Sachet,12,8.0,96.0,GCash,Cancelled
ORD-M202605-1015,21/05/2026,Ricardo Bautista, Manila,NCR,Joy Dishwashing Liquid 250ml,12,38.0,456.0,COD,Cancelled
ORD-M202605-1016,26/05/2026,Ricardo Ocampo,Quezon City,NCR,Safeguard Soap Bar,12,28.0,336.0,GCash,Delivered
ORD-M202605-1017,24/05/2026,Carmen Reyes,Tagbilaran,Central Visayas,Zonrox Bleach 500ml,14,32.0,448.0,Cash,Delivered
ORD-M202605-1018,14/05/2026,Ramon Santos,Dasmarinas,CALABARZON,Nissin Cup Noodles,9,20.0,180.0,GCash,Cancelled
ORD-M202605-1019,24/05/2026,Fernando Garcia,Tagbilaran,Central Visayas,Boy Bawang 100g,8,18.0,144.0,GCash,Delivered
ORD-M202605-1020,14/05/2026,Fernando Villanueva,Bacolod,Western Visayas,ILUV Ballpen,5,10.0,50.0,COD,Delivered
ORD-M202605-1021,02/05/2026,Jose Cruz,Angeles City,Central Luzon,Head & Shoulders Sachet,11,7.0,77.0,COD,Delivered
ORD-M202605-1022,14/05/2026,Roberto Aquino,Cebu City,Central Visayas,ILUV Ballpen,3,10.0,30.0,Bank Transfer,Test
ORD-M202605-1023,18/05/2026,Antonio Bautista,Davao City,Davao Region,Palmolive Shampoo Sachet,1,6.0,6.0,Maya,Delivered
ORD-M202605-1024,13/05/2026,Luz Cruz,Makati,NCR,Head & Shoulders Sachet,4,7.0,28.0,COD,Cancelled
ORD-M202605-1025,22/05/2026,Josefina Santos,Tagbilaran,Central Visayas,555 Sardines,19,22.0,418.0,COD,Delivered
ORD-M202605-1026,14/05/2026,Manuel Mendoza,Mandaue,Central Visayas,Nova Multigrain 78g,13,30.0,390.0,COD,Cancelled
ORD-M202605-1027,07/05/2026,Josefina Torres,Tagbilaran,Central Visayas,Nova Multigrain 78g,20,30.0,600.0,GCash,Returned
ORD-M202605-1028,29/05/2026,Cristina Flores,Quezon City,NCR,Lucky Me Beef Sotanghon,15,13.0,195.0,Cash,Cancelled
ORD-M202605-1029,06/05/2026,Corazon Bautista,Bacolod,Western Visayas,SkyFlakes Crackers,18,15.0,270.0,GCash,Delivered
ORD-M202605-1030,15/05/2026,Manuel Mendoza,Mandaue,Central Visayas,ILUV Ballpen,6,10.0,60.0,Cash,Delivered
ORD-M202605-1031,23/05/2026,Ana Flores,Tagum,Davao Region,ILUV Ballpen,4,10.0,40.0,GCash,Delivered
ORD-M202605-1032,25/05/2026,Eduardo Aquino,Tarlac City,Central Luzon,Piattos 85g,3,32.0,96.0,GCash,Delivered
ORD-M202605-1033,19/05/2026,Luz Aquino,Tarlac City,Central Luzon,C2 Green Tea 500ml,14,22.0,308.0,Bank Transfer,Pending
ORD-M202605-1034,19/05/2026,Teresa Villanueva,Malolos,Central Luzon,CDO Corned Beef,14,33.0,462.0,COD,Returned
ORD-M202605-1035,14/05/2026,Ricardo Bautista,Tagum,Davao Region,ILUV Ballpen,3,10.0,30.0,COD,Delivered
ORD-M202605-1036,07/05/2026,Jose Ocampo,Dasmarinas,CALABARZON,Nissin Cup Noodles,5,20.0,100.0,Cash,Cancelled
ORD-M202605-1037,26/05/2026,Teresa Torres,Mandaue,Central Visayas,Coca-Cola 1.5L,4,65.0,260.0,COD,Delivered
ORD-M202605-1038,25/05/2026,Juan Villanueva,Pasig,NCR,Surf Powder Sachet,17,8.0,136.0,COD,Delivered
ORD-M202605-1039,19/05/2026,Eduardo Santos,Pasig,NCR,Head & Shoulders Sachet,8,7.0,56.0,Cash,Delivered
ORD-M202605-1040,16/05/2026,Antonio Bautista,Davao City,Davao Region,Surf Powder Sachet,8,8.0,64.0,Bank Transfer,Delivered
ORD-M202605-1041,10/05/2026,Corazon Torres,Cebu City,Central Visayas,Argentina Corned Beef,2,35.0,70.0,COD,Cancelled
ORD-M202605-1042,19/05/2026,Ana Torres,Pasig,NCR,Sta. Maria Crayons,6,40.0,240.0,GCash,Cancelled
ORD-M202605-1043,31/05/2026,Fernando Villanueva,Bacolod,Western Visayas,Yellow Pad Paper,19,12.0,228.0,Maya,Pending
ORD-M202605-1044,09/05/2026,Fernando Santos,Bacolod,Western Visayas,SkyFlakes Crackers,3,15.0,45.0,COD,Delivered
ORD-M202605-1045,29/05/2026,Corazon Ramos,Pasig,NCR,Palmolive Shampoo Sachet,12,6.0,72.0,Bank Transfer,Cancelled
ORD-M202605-1046,22/05/2026,Eduardo Bautista,Cebu  City,Central Visayas,C2 Green Tea 500ml,20,22.0,440.0,Cash,Delivered
ORD-M202605-1047,02/05/2026,Roberto Garcia, Manila,NCR,Head & Shoulders Sachet,4,7.0,28.0,GCash,Delivered
ORD-M202605-1048,06/05/2026,Rosa Del Rosario,Angeles City,Central Luzon,Nova Multigrain 78g,5,30.0,150.0,Cash,Delivered
ORD-M202605-1049,02/05/2026,Fernando Garcia,Iloilo City,Western Visayas,Joy Dishwashing Liquid 250ml,11,38.0,418.0,COD,Delivered
ORD-M202605-1050,14/05/2026,Jose Cruz,Angeles City,Central Luzon,Piattos 85g,4,32.0,128.0,GCash,Delivered
ORD-M202605-1051,07/05/2026,Eduardo Mendoza,Cebu City,Central Visayas,Joy Dishwashing Liquid 250ml,4,38.0,152.0,Cash,Delivered
ORD-M202605-1052,28/05/2026,Manuel Aquino,Bacolod,Western Visayas,CDO Corned Beef,6,33.0,198.0,COD,Delivered
ORD-M202605-1053,27/05/2026,Pedro Santos,Iloilo City,Western Visayas,Joy Dishwashing Liquid 250ml,6,38.0,228.0,Maya,Pending
ORD-M202605-1054,30/05/2026,Pedro Ocampo,Cebu City,Central Visayas,ILUV Ballpen,13,10.0,130.0,Cash,Delivered
ORD-M202605-1055,30/05/2026,Teresa Castillo,Batangas City,CALABARZON,Nova Multigrain 78g,12,30.0,360.0,Maya,Delivered
ORD-M202605-1056,07/05/2026,Jose Castillo,Malolos,Central Luzon,Surf Powder Sachet,9,8.0,72.0,GCash,Delivered
ORD-M202605-1057,23/05/2026,Luz Pascual,Cebu City,Central Visayas,Yellow Pad Paper,6,12.0,72.0,Cash,Pending
ORD-M202605-1058,20/05/2026,Elena Cruz,Angeles City,Central Luzon,Safeguard Soap Bar,5,28.0,140.0,Maya,Delivered
ORD-M202605-1059,27/05/2026,Roberto Flores,Dasmarinas,CALABARZON,Sta. Maria Crayons,2,40.0,80.0,GCash,Delivered
ORD-M202605-1060,02/05/2026,Ana Ramos,Tarlac City,Central Luzon,Nissin Cup Noodles,20,20.0,400.0,Cash,Pending
ORD-M202605-1061,03/05/2026,Cristina Torres,quezon city,NCR,555 Sardines,17,22.0,374.0,Bank Transfer,Delivered
ORD-M202605-1062,02/05/2026,Jose Reyes,Tagum,Davao Region,Palmolive Shampoo Sachet,11,6.0,66.0,GCash,Delivered
ORD-M202605-1063,03/05/2026,Jose Castillo,Malolos,Central Luzon,Lucky Me Beef Sotanghon,10,13.0,130.0,GCash,Pending
ORD-M202605-1064,26/05/2026,Cristina Pascual,Davao City,Davao Region,Yellow Pad Paper,19,12.0,228.0,GCash,Delivered
ORD-M202605-1065,17/05/2026,Jose Castillo,Bacolod,Western Visayas,Nissin Cup Noodles,12,20.0,240.0,COD,Delivered
ORD-M202605-1066,04/05/2026,Ricardo Cruz,Manila,NCR,Lucky Me Pancit Canton Noodles,19,14.0,266.0,Cash,Returned
ORD-M202605-1067,14/05/2026,Fernando Pascual,Dasmarinas,CALABARZON,Surf Powder Sachet,8,8.0,64.0,Bank Transfer,Delivered
ORD-M202605-1068,22/05/2026,Ricardo Flores,Iloilo City,Western Visayas,SkyFlakes Crackers,17,15.0,255.0,GCash,Returned
ORD-M202605-1069,12/05/2026,Juan Bautista,Angeles City,Central Luzon,ILUV Ballpen,11,10.0,110.0,GCash,Delivered
ORD-M202605-1070,11/05/2026,Ana Cruz,Quezon City,NCR,SkyFlakes Crackers,1,15.0,15.0,Maya,Cancelled
ORD-M202605-1071,19/05/2026,Pedro Cruz,Cebu  City,Central Visayas,Colgate Toothpaste 75ml,16,45.0,720.0,GCash,Cancelled
ORD-M202605-1072,13/05/2026,Josefina Reyes,Dasmarinas,CALABARZON,Boy Bawang 100g,17,18.0,306.0,GCash,Delivered
ORD-M202605-1073,08/05/2026,Eduardo Pascual,Tarlac City,Central Luzon,Zonrox Bleach 500ml,11,32.0,352.0,Cash,Delivered
ORD-M202605-1074,10/05/2026,Cristina Pascual,Davao City,Davao Region,Nissin Cup Noodles,8,20.0,160.0,GCash,Delivered
ORD-M202605-1075,02/05/2026,Fernando Garcia,Tagbilaran,Central Visayas,Colgate Toothpaste 75ml,11,45.0,495.0,GCash,Delivered
ORD-M202605-1076,16/05/2026,Maria Mendoza,Manila,NCR,C2 Green Tea 500ml,14,22.0,308.0,GCash,Delivered
ORD-M202605-1077,03/05/2026,Elena Aquino,Iloilo City,Western Visayas,CDO Corned Beef,18,33.0,594.0,GCash,Delivered
ORD-M202605-1078,07/05/2026,Manuel Aquino,Bacolod,Western Visayas,Nova Multigrain 78g,20,30.0,600.0,GCash,Delivered
ORD-M202605-1079,31/05/2026,Carmen Flores,Tarlac City,Central Luzon,Lucky Me Pancit Canton Noodles,17,14.0,238.0,GCash,Pending
ORD-M202605-1080,30/05/2026,Jose Castillo,Malolos,Central Luzon,C2 Green Tea 500ml,12,22.0,264.0,GCash,Delivered
ORD-M202605-1081,24/05/2026,Pedro Garcia,Manila,NCR,Nissin Cup Noodles,17,20.0,340.0,Maya,Delivered
ORD-M202605-1082,05/05/2026,Ricardo Pascual,Tarlac City,Central Luzon,Piattos 85g,3,32.0,96.0,COD,Delivered
ORD-M202605-1083,27/05/2026,Antonio Flores,Angeles City,Central Luzon,Piattos 85g,3,32.0,96.0,GCash,Delivered
ORD-M202605-1084,09/05/2026,Teresa Castillo,Batangas City,CALABARZON,Colgate Toothpaste 75ml,20,45.0,900.0,Bank Transfer,Delivered
ORD-M202605-1085,21/05/2026,Teresa Torres,Mandaue,Central Visayas,Yellow Pad Paper,1,12.0,12.0,COD,Delivered
ORD-M202605-1086,11/05/2026,Manuel Ramos,Tagbilaran,Central Visayas,C2 Green Tea 500ml,12,22.0,264.0,COD,Delivered
ORD-M202605-1087,07/05/2026,Pedro Garcia,Manila,NCR,Zonrox Bleach 500ml,16,32.0,512.0,Cash,Test
ORD-M202605-1088,20/05/2026,Ricardo Ocampo,Pasig,NCR,Milo Sachet,2,9.0,18.0,COD,Returned
ORD-M202605-1089,14/05/2026,Josefina Reyes,Dasmarinas,CALABARZON,Sterling Notebook,16,18.0,288.0,COD,Pending
ORD-M202605-1090,31/05/2026,Josefina Pascual,Manila,NCR,Yellow Pad Paper,2,12.0,24.0,GCash,Delivered
ORD-M202605-1091,24/05/2026,Pedro Ocampo,Cebu City,Central Visayas,Boy Bawang 100g,16,18.0,288.0,COD,Delivered
ORD-M202605-1092,02/05/2026,Fernando Ocampo,Tagum,Davao Region,Colgate Toothpaste 75ml,19,45.0,855.0,Maya,Delivered
ORD-M202605-1093,21/05/2026,Eduardo Ocampo,Tagum,Davao Region,Yellow Pad Paper,8,12.0,96.0,GCash,Cancelled
ORD-M202605-1094,20/05/2026,Eduardo Aquino,Tarlac City,Central Luzon,Nissin Cup Noodles,9,20.0,180.0,Cash,Returned
ORD-M202605-1095,19/05/2026,Luz Castillo,Calamba,CALABARZON,Coca-Cola 1.5L,12,65.0,780.0,Bank Transfer,Delivered
ORD-M202605-1096,15/05/2026,Teresa Pascual,Tagum,Davao Region,Colgate Toothpaste 75ml,18,45.0,810.0,Cash,Delivered
ORD-M202605-1097,09/05/2026,Ana Ramos,Malolos,Central Luzon,Zonrox Bleach 500ml,13,32.0,416.0,GCash,Delivered
ORD-M202605-1098,26/05/2026,Antonio Santos,Bacolod,Western Visayas,Yellow Pad Paper,7,12.0,84.0,COD,Pending
ORD-M202605-1099,23/05/2026,Jose Cruz,Angeles City,Central Luzon,Piattos 85g,4,32.0,128.0,Cash,Delivered
ORD-M202605-1100,08/05/2026,Ana Flores,Tagum,Davao Region,Yellow Pad Paper,2,12.0,24.0,Maya,Delivered
ORD-M202605-1101,04/05/2026,Pedro Torres,Cebu City,Central Visayas,Head & Shoulders Sachet,4,7.0,28.0,Maya,Returned
ORD-M202605-1102,07/05/2026,Rosa Pascual,Manila,NCR,Zonrox Bleach 500ml,1,32.0,32.0,COD,Pending
ORD-M202605-1103,05/05/2026,Ana Cruz,Quezon City,NCR,Palmolive Shampoo Sachet,9,6.0,54.0,COD,Cancelled
ORD-M202605-1104,14/05/2026,Rosa Reyes,Iloilo City,Western Visayas,Colgate Toothpaste 75ml,17,45.0,765.0,COD,Delivered
ORD-M202605-1105,21/05/2026,Antonio Castillo,Angeles City,Central Luzon,Head & Shoulders Sachet,6,7.0,42.0,COD,Delivered
ORD-M202605-1106,09/05/2026,Pedro Del Rosario,Pasig,NCR,Lucky Me Beef Sotanghon,20,13.0,260.0,Cash,Returned
ORD-M202605-1107,16/05/2026,Corazon Villanueva,Angeles City,Central Luzon,Head & Shoulders Sachet,19,7.0,133.0,Cash,Delivered
ORD-M202605-1108,05/05/2026,Teresa Reyes,Calamba,CALABARZON,Nescafe 3-in-1 Sachet,10,8.0,80.0,Cash,Delivered
ORD-M202605-1109,21/05/2026,Roberto Del Rosario,Malolos,Central Luzon,Lucky Me Beef Sotanghon,10,13.0,130.0,Cash,Delivered
ORD-M202605-1110,07/05/2026,Manuel Villanueva,Tarlac City,Central Luzon,Nova Multigrain 78g,5,30.0,150.0,GCash,Delivered
ORD-M202605-1111,02/05/2026,Carmen Reyes,Tagbilaran,Central Visayas,Palmolive Shampoo Sachet,18,6.0,108.0,Cash,Delivered
ORD-M202605-1112,29/05/2026,Manuel Villanueva,Tagbilaran,Central Visayas,Domex Toilet Cleaner,14,55.0,770.0,COD,Delivered
ORD-M202605-1113,05/05/2026,Eduardo Mendoza,Tagum,Davao Region,Colgate Toothpaste 75ml,19,45.0,855.0,GCash,Delivered
ORD-M202605-1114,12/05/2026,Josefina Santos,Tagum,Davao Region,C2 Green Tea 500ml,1,22.0,22.0,GCash,Delivered
ORD-M202605-1115,10/05/2026,Josefina Flores,Iloilo City,Western Visayas,ILUV Ballpen,9,10.0,90.0,GCash,Delivered
ORD-M202605-1116,29/05/2026,Ricardo Bautista,Manila,NCR,Yellow Pad Paper,19,12.0,228.0,GCash,Delivered
ORD-M202605-1117,24/05/2026,Juan Villanueva,Iloilo City,Western Visayas,SkyFlakes Crackers,15,15.0,225.0,COD,Delivered
ORD-M202605-1118,01/05/2026,Teresa Villanueva,Iloilo City,Western Visayas,Lucky Me Pancit Canton Noodles,17,14.0,238.0,Maya,Delivered
ORD-M202605-1119,14/05/2026,Juan Villanueva,Iloilo City,Western Visayas,Head & Shoulders Sachet,12,7.0,84.0,Bank Transfer,Delivered
ORD-M202605-1120,12/05/2026,Ricardo Bautista,Tagum,Davao Region,Domex Toilet Cleaner,3,55.0,165.0,COD,Cancelled
ORD-M202605-1121,17/05/2026,Luz Torres,Mandaue,Central Visayas,Argentina Corned Beef,17,35.0,595.0,Cash,Pending
ORD-M202605-1122,14/05/2026,Maria Flores,Makati,NCR,Piattos 85g,1,32.0,32.0,Cash,Cancelled
ORD-M202605-1123,28/05/2026,Juan Reyes,QC,NCR,Lucky Me Pancit Canton Noodles,8,14.0,112.0,COD,Pending
ORD-M202605-1124,18/05/2026,Manuel Mendoza,Tagbilaran,Central Visayas,Domex Toilet Cleaner,11,55.0,605.0,COD,Delivered
ORD-M202605-1125,06/05/2026,Fernando Pascual,Malolos,Central Luzon,C2 Green Tea 500ml,5,22.0,110.0,GCash,Returned
ORD-M202605-1126,14/05/2026,Jose Flores,Bacolod,Western Visayas,Zonrox Bleach 500ml,7,32.0,224.0,Cash,Returned
ORD-M202605-1127,10/05/2026,Ricardo Aquino,Cebu City,Central Visayas,ILUV Ballpen,18,10.0,180.0,Cash,Delivered
ORD-M202605-1128,11/05/2026,Josefina Reyes,Dasmarinas,CALABARZON,Yellow Pad Paper,5,12.0,60.0,GCash,Delivered
ORD-M202605-1129,09/05/2026,Cristina Santos,Makati,NCR,CDO Corned Beef,1,33.0,33.0,GCash,Cancelled
