CustomerID,Name,Mobile,Barangay,City,Province,Region,JoinDate
CUST-1000,Manuel Santos,09447786936,Del Pilar,Mandaue,Cebu,Central Visayas,2024-09-09
CUST-1001,Ana Ramos,09140231924,San Antonio,Malolos,Bulacan,Central Luzon,2025-11-12
CUST-1002,Fernando Mendoza,09713239008,Santo Nino,Quezon City,Metro Manila,NCR,2025-07-24
CUST-1003,Ricardo Cruz,09973664091,San Antonio,Manila,Metro Manila,NCR,2024-03-25
CUST-1004,Luz Ocampo,09803453400,San Antonio,Bacolod,Negros Occidental,Western Visayas,2024-03-13
CUST-1005,Antonio Santos,09710299717,Del Pilar,Iloilo City,Iloilo,Western Visayas,2025-09-27
CUST-1006,Corazon Villanueva,09876635891,San Isidro,Makati,Metro Manila,NCR,2024-06-29
CUST-1007,Roberto Garcia,09206503986,Rizal,Manila,Metro Manila,NCR,2024-03-21
CUST-1008,Corazon Villanueva,09368154121,San Jose,Makati,Metro Manila,NCR,2024-10-03
CUST-1009,Jose Reyes,09233036819,Bagumbayan,Quezon City,Metro Manila,NCR,2025-04-18
CUST-1010,Corazon Aquino,09483213195,San Antonio,Tagum,Davao del Norte,Davao Region,2024-06-03
CUST-1011,Corazon Bautista,09479604869,Bagong Silang,Davao City,Davao del Sur,Davao Region,2025-07-11
CUST-1012,Josefina Santos,09916131780,Bagumbayan,Tagbilaran,Bohol,Central Visayas,2025-09-01
CUST-1013,Jose Cruz,09486770075,Santo Nino,Angeles City,Pampanga,Central Luzon,2025-06-15
CUST-1014,Josefina Ramos,09556357001,San Isidro,Cebu City,Cebu,Central Visayas,2024-07-04
CUST-1015,Josefina Flores,09983073231,Bagumbayan,Iloilo City,Iloilo,Western Visayas,2024-12-27
CUST-1016,Juan Reyes,09218900696,Poblacion,Quezon City,Metro Manila,NCR,2025-11-09
CUST-1017,Jose Del Rosario,09734768460,Rizal,Tagbilaran,Bohol,Central Visayas,2024-08-10
CUST-1018,Luz Castillo,09737976601,Bagumbayan,Calamba,Laguna,CALABARZON,2024-07-03
