OrderID,OrderDate,Customer,City,Region,Product,Qty,UnitPrice,Amount,Mobile,PaymentMethod,Status
ORD-20260000,2026-02-21,  ROBERTO AQUINO  ,Cebu  City,Central Visayas,C2 Green Tea 500ml,6,22.0,132.0,09978280843,COD,Cancelled
ORD-20260001,2026-01-18,Luz Reyes,Tarlac City,Central Luzon,Piattos 85g,18,32.0,576.0,09400579227,Cash,Delivered
ORD-20260002,2026-04-08,  ANA VILLANUEVA  ,Tarlac City,Central Luzon,Safeguard Soap Bar,7,28.0,196.0,09852067405,GCash,Returned
ORD-20260003,2026-02-10,Pedro Santos,Iloilo City,Western Visayas,Milo Sachet,7,9.0,63.0,09626900307,Maya,Delivered
ORD-20260004,2026-01-17,Antonio Aquino,Dasmarinas,CALABARZON,C2 Green Tea 500ml,15,22.0,330.0,09859553356,COD,Cancelled
ORD-20260005,2026-06-07,Ramon Ocampo,Davao City,Davao Region,Nissin Cup Noodles,10,20.0,200.0,09326198796,Cash,Delivered
ORD-20260006,2026-04-13,  CARMEN MENDOZA  ,Malolos,Central Luzon,ILUV Ballpen,2,10.0,20.0,09298338360,Bank Transfer,Delivered
ORD-20260007,2026-06-23,Jose Garcia,Malolos,Central Luzon,Palmolive Shampoo Sachet,13,6.0,78.0,091234,COD,Delivered
ORD-20260008,2027-01-21,Eduardo Mendoza,Tagum,Davao Region,Zonrox Bleach 500ml,16,32.0,512.0,09652198984,Cash,Cancelled
ORD-20260009,2026-06-06,  CRISTINA OCAMPO  ,Mandaue,Central Visayas,Nescafe 3-in-1 Sachet,1,8.0,8.0,09139360101,COD,Delivered
ORD-20260010,2026-01-06,Teresa Santos,Davao City,Davao Region,Nova Multigrain 78g,10,30.0,300.0,09859627440,Maya,Delivered
ORD-20260011,2026-01-25,Ricardo Cruz,Manila,NCR,Sterling Notebook,2,18.0,36.0,09464947130,COD,Delivered
ORD-20260012,2026-06-09,Eduardo Santos,Pasig,NCR,Nova Multigrain 78g,19,30.0,570.0,09475324681,COD,Cancelled
ORD-20260013,2026-01-02,Ricardo Cruz,Calamba,CALABARZON,Piattos 85g,5,32.0,160.0,09691057791,Cash,Delivered
ORD-20260014,2026-02-14,Josefina Cruz,Makati,NCR,Surf Powder Sachet,1,8.0,8.0,09290916247,Cash,Delivered
ORD-20260015,2026-02-24,Eduardo Mendoza,Cebu City,Central Visayas,C2 Green Tea 500ml,17,22.0,374.0,09697291212,Maya,Cancelled
ORD-20260016,2026-12-11,Elena Torres,Angeles City,Central Luzon,CDO Corned Beef,17,33.0,561.0,09723152717,Cash,Delivered
ORD-20260017,2026-02-05,  ELENA GARCIA  ,Davao City,Davao Region,Nissin Cup Noodles,12,20.0,240.0,091234,Maya,Cancelled
ORD-20260018,2026-03-01,Rosa Pascual, Manila,NCR,Zonrox Bleach 500ml,17,32.0,544.0,091234,Cash,Cancelled
ORD-20260019,2026-01-16,Corazon Torres,Cebu City,Central Visayas,Nova Multigrain 78g,19,30.0,570.0,09935345663,COD,Cancelled
ORD-20260020,2026-04-17,Antonio Santos,Bacolod,Western Visayas,Safeguard Soap Bar,18,28.0,504.0,09332547188,Maya,Delivered
ORD-20260021,2026-01-13,Manuel Mendoza,Mandaue,Central Visayas,Joy Dishwashing Liquid 250ml,9,38.0,342.0,091234,Bank Transfer,Pending
ORD-20260022,2026-01-01,Ana Flores,Tagum,Davao Region,SkyFlakes Crackers,18,15.0,270.0,09592970618,Cash,Delivered
ORD-20260023,2026-04-28,Roberto Ocampo,Iloilo City,Western Visayas,Zonrox Bleach 500ml,19,32.0,608.0,09734186849,GCash,Delivered
ORD-20260024,2026-05-28,Ricardo Bautista,Manila,NCR,SkyFlakes Crackers,4,15.0,60.0,09391965346,COD,Delivered
ORD-20260025,2026-04-15,  MARIA CASTILLO  ,Malolos,Central Luzon,Boy Bawang 100g,16,18.0,288.0,09555291344,Bank Transfer,Returned
ORD-20260026,2026-05-01,Carmen Villanueva,Tarlac City,Central Luzon,ILUV Ballpen,6,10.0,60.0,09525376324,GCash,Cancelled
ORD-20260027,2026-05-02,Jose Torres,Dasmarinas,CALABARZON,Argentina Corned Beef,14,35.0,490.0,09899115411,GCash,Delivered
ORD-20260028,2026-02-22,Roberto Torres,Tarlac City,Central Luzon,Nescafe 3-in-1 Sachet,4,8.0,32.0,09268742255,GCash,Pending
ORD-20260029,2026-06-02,Pedro Torres,Dasmarinas,CALABARZON,Joy Dishwashing Liquid 250ml,16,38.0,608.0,09381909674,COD,Cancelled
ORD-20260030,2026-06-29,Josefina Santos,Bacolod,Western Visayas,Colgate Toothpaste 75ml,7,45.0,315.0,09286128615,GCash,Delivered
ORD-20260031,2026-06-25,Eduardo Mendoza,Cebu  City,Central Visayas,Boy Bawang 100g,6,18.0,108.0,09444232383,GCash,Pending
ORD-20260032,2026-06-28,  JUAN FLORES  ,Iloilo City,Western Visayas,Joy Dishwashing Liquid 250ml,4,38.0,152.0,09995410482,Cash,Pending
ORD-20260033,2027-01-06,Juan Villanueva,Iloilo City,Western Visayas,Sterling Notebook,6,18.0,108.0,09659931996,Bank Transfer,Delivered
ORD-20260034,2026-04-13,Luz Reyes,Tarlac City,Central Luzon,Argentina Corned Beef,20,35.0,700.0,09372517871,GCash,Delivered
ORD-20260035,2026-04-13,Roberto Flores,Dasmarinas,CALABARZON,Head & Shoulders Sachet,9,7.0,63.0,09893440899,GCash,Delivered
ORD-20260036,2026-05-16,Antonio Castillo,Angeles City,Central Luzon,555 Sardines,2,22.0,44.0,09871288122,COD,Delivered
ORD-20260037,2026-03-02,  JOSEFINA CASTILLO  ,Tagbilaran,Central Visayas,Boy Bawang 100g,1,18.0,18.0,09701039862,GCash,Delivered
ORD-20260038,2026-04-16,Roberto Del Rosario,Malolos,Central Luzon,ILUV Ballpen,19,10.0,190.0,09990258484,Cash,Cancelled
ORD-20260039,2026-03-09,Cristina Santos,Makati,NCR,Sta. Maria Crayons,16,40.0,640.0,09135081723,Cash,Delivered
ORD-20260040,2026-04-03,  JOSE CASTILLO  ,Bacolod,Western Visayas,Lucky Me Beef Sotanghon,3,13.0,39.0,09770239662,COD,Delivered
ORD-20260041,2026-04-26,Jose Santos,Cebu City,Central Visayas,Domex Toilet Cleaner,3,55.0,165.0,091234,COD,Cancelled
ORD-20260042,2026-05-21,Cristina Flores,Quezon City,NCR,Joy Dishwashing Liquid 250ml,11,38.0,418.0,09465469319,GCash,Delivered
ORD-20260043,2026-06-30,Pedro Cruz,Cebu City,Central Visayas,Head & Shoulders Sachet,12,7.0,84.0,09531734774,Cash,Delivered
