OrderID,OrderDate,Customer,Barangay,City,Province,Region,Product,Category,Qty,UnitPrice,Amount,PaymentMethod,Status,DeliveredDate,ImportedDates
ORD-20260000,2026-06-09,Jose Del Rosario,Rizal,Tagbilaran,Bohol,Central Visayas,ILUV Ballpen,School & Office Supplies,12,10.0,120.0,Maya,Delivered,2026-06-14,09/06/2026
ORD-20260001,2026-04-21,Eduardo Santos,San Isidro,Pasig,Metro Manila,NCR,ILUV Ballpen,School & Office Supplies,8,10.0,80.0,COD,Delivered,2026-04-24,21/04/2026
ORD-20260002,2026-06-21,Cristina Pascual,Rizal,Davao City,Davao del Sur,Davao Region,ILUV Ballpen,School & Office Supplies,11,10.0,110.0,Cash,Delivered,2026-06-29,21/06/2026
ORD-20260003,2026-02-27,Juan Ramos,Bagumbayan,Manila,Metro Manila,NCR,Head & Shoulders Sachet,Personal Care,11,7.0,77.0,Maya,Pending,,27/02/2026
ORD-20260004,2026-06-19,Elena Torres,San Jose,Angeles City,Pampanga,Central Luzon,Nova Multigrain 78g,Snacks,10,30.0,300.0,Maya,Delivered,2026-06-21,19/06/2026
ORD-20260005,2026-06-16,Maria Cruz,Del Pilar,Iloilo City,Iloilo,Western Visayas,Nescafe 3-in-1 Sachet,Beverages,2,8.0,16.0,GCash,Delivered,2026-06-22,16/06/2026
ORD-20260006,2026-01-11,Roberto Ocampo,San Isidro,Iloilo City,Iloilo,Western Visayas,Palmolive Shampoo Sachet,Personal Care,10,6.0,60.0,Cash,Pending,,11/01/2026
ORD-20260007,2026-06-17,Fernando Mendoza,Santo Nino,Quezon City,Metro Manila,NCR,Surf Powder Sachet,Household Care,9,8.0,72.0,COD,Delivered,2026-06-21,17/06/2026
ORD-20260008,2026-04-27,Rosa Cruz,San Isidro,Tarlac City,Tarlac,Central Luzon,Lucky Me Beef Sotanghon,Noodles & Canned Goods,16,13.0,208.0,COD,Delivered,2026-04-29,27/04/2026
ORD-20260009,2026-05-02,Maria Villanueva,Bagong Silang,Malolos,Bulacan,Central Luzon,Joy Dishwashing Liquid 250ml,Household Care,11,38.0,418.0,COD,Returned,2026-05-04,02/05/2026
ORD-20260010,2026-02-16,Eduardo Del Rosario,Bagong Silang,Malolos,Bulacan,Central Luzon,Head & Shoulders Sachet,Personal Care,5,7.0,35.0,Bank Transfer,Returned,2026-02-23,16/02/2026
ORD-20260011,2026-05-14,Jose Castillo,Malinta,Bacolod,Negros Occidental,Western Visayas,Joy Dishwashing Liquid 250ml,Household Care,5,38.0,190.0,COD,Delivered,2026-05-23,14/05/2026
ORD-20260012,2026-02-16,Ricardo Cruz,San Isidro,Calamba,Laguna,CALABARZON,555 Sardines,Noodles & Canned Goods,17,22.0,374.0,Cash,Returned,2026-02-18,16/02/2026
ORD-20260013,2026-04-12,Jose Ocampo,Bagumbayan,Mandaue,Cebu,Central Visayas,Yellow Pad Paper,School & Office Supplies,16,12.0,192.0,Cash,Delivered,2026-04-22,12/04/2026
ORD-20260014,2026-04-17,Corazon Villanueva,San Isidro,Makati,Metro Manila,NCR,Domex Toilet Cleaner,Household Care,19,55.0,1045.0,Cash,Delivered,2026-04-22,17/04/2026
ORD-20260015,2026-01-14,Teresa Mendoza,San Isidro,Cebu City,Cebu,Central Visayas,Nissin Cup Noodles,Noodles & Canned Goods,11,20.0,220.0,Cash,Cancelled,,14/01/2026
ORD-20260016,2026-04-24,Luz Castillo,Bagumbayan,Calamba,Laguna,CALABARZON,Joy Dishwashing Liquid 250ml,Household Care,17,38.0,646.0,COD,Pending,,24/04/2026
ORD-20260017,2026-06-27,Teresa Torres,Rizal,Mandaue,Cebu,Central Visayas,Domex Toilet Cleaner,Household Care,19,55.0,1045.0,COD,Delivered,2026-07-07,27/06/2026
ORD-20260018,2026-06-28,Josefina Mendoza,San Antonio,Angeles City,Pampanga,Central Luzon,Head & Shoulders Sachet,Personal Care,17,7.0,119.0,COD,Delivered,2026-07-04,28/06/2026
ORD-20260019,2026-03-01,Roberto Santos,Del Pilar,Bacolod,Negros Occidental,Western Visayas,Piattos 85g,Snacks,8,32.0,256.0,COD,Delivered,2026-03-09,01/03/2026
ORD-20260020,2026-04-11,Juan Villanueva,Rizal,Iloilo City,Iloilo,Western Visayas,Colgate Toothpaste 75ml,Personal Care,13,45.0,585.0,Maya,Delivered,2026-04-19,11/04/2026
ORD-20260021,2026-03-16,Ricardo Flores,San Isidro,Iloilo City,Iloilo,Western Visayas,Zonrox Bleach 500ml,Household Care,11,32.0,352.0,Cash,Delivered,2026-03-23,16/03/2026
ORD-20260022,2026-05-18,Maria Villanueva,Malinta,Calamba,Laguna,CALABARZON,Nissin Cup Noodles,Noodles & Canned Goods,18,20.0,360.0,Cash,Delivered,2026-05-19,18/05/2026
ORD-20260023,2026-04-14,Ana Cruz,Poblacion,Quezon City,Metro Manila,NCR,SkyFlakes Crackers,Snacks,11,15.0,165.0,COD,Delivered,2026-04-20,14/04/2026
ORD-20260024,2026-04-29,Jose Castillo,Malinta,Bacolod,Negros Occidental,Western Visayas,SkyFlakes Crackers,Snacks,11,15.0,165.0,Cash,Delivered,2026-05-03,29/04/2026
ORD-20260025,2026-05-09,Eduardo Bautista,San Jose,Cebu City,Cebu,Central Visayas,555 Sardines,Noodles & Canned Goods,20,22.0,440.0,Cash,Delivered,2026-05-10,09/05/2026
ORD-20260026,2026-06-16,Pedro Ocampo,Santo Nino,Cebu City,Cebu,Central Visayas,Coca-Cola 1.5L,Beverages,2,65.0,130.0,Maya,Delivered,2026-06-19,16/06/2026
ORD-20260027,2026-01-27,Juan Bautista,San Jose,Angeles City,Pampanga,Central Luzon,Lucky Me Beef Sotanghon,Noodles & Canned Goods,16,13.0,208.0,GCash,Delivered,2026-01-31,27/01/2026
