RawEntry,Mobile
"  MENDOZA, FERNANDO   | DAVAO CITY",09295272929
"santos, roberto | tagum",09414854507
" GARCIA, JUAN  | ANGELES CITY",09530886470
" Ocampo, Jose  | Makati",09428454869
"  Villanueva, Teresa   | Iloilo City",09234839872
" Flores, Fernando  | Tagbilaran",0967361931
" Reyes, Eduardo  | Tagbilaran",09539874748
"Cruz, Luz | Davao City",09825257685
"  Cruz, Cristina   | Tagum",09188025754
"  aquino, cristina   | pasig",09538208646
" mendoza, manuel  | manila",+63921569222
"VILLANUEVA, ANTONIO | MALOLOS",09979353381
"  mendoza, antonio   | cebu city",+63973562456
"Garcia, Fernando | Angeles City",09881018604
"  garcia, ana   | bacolod",09646025784
"Cruz, Roberto | Manila",09582909257
"Ramos, Teresa | Cebu City",09233650258
" Ocampo, Cristina  | Tagum",09901642731
" Garcia, Carmen  | Malolos",09550339254
" garcia, maria  | iloilo city",09891438424
"pascual, carmen | cebu city",09201242039
" RAMOS, CRISTINA  | BACOLOD",09130854348
"  Santos, Corazon   | Angeles City",09986318565
"  bautista, rosa   | malolos",09522895233
"bautista, manuel | iloilo city",09168638230
"  bautista, ana   | bacolod",09610162799
"  AQUINO, ROBERTO   | TARLAC CITY",09675800824
" SANTOS, TERESA  | CALAMBA",09810568972
"villanueva, rosa | malolos",09151026606
" cruz, juan  | angeles city",09218480806
" PASCUAL, FERNANDO  | TAGUM",09693513681
"Flores, Roberto | Dasmarinas",09367977185
"  aquino, roberto   | bacolod",09744847562
"  CRUZ, ANA   | ANGELES CITY",0917-abc-defg
" Flores, Antonio  | Tagbilaran",09127525641
"  REYES, MARIA   | BATANGAS CITY",09302008487
" Castillo, Ricardo  | Malolos",09582214365
"Cruz, Corazon | Iloilo City",09849629979
" Garcia, Manuel  | Bacolod",09860635440
"aquino, cristina | angeles city",09563349385
"Aquino, Ramon | Mandaue",09263575209
" Aquino, Luz  | Batangas City",09915053894
" Bautista, Antonio  | Manila",09306880538
" Castillo, Juan  | Iloilo City",09648976314
"  aquino, manuel   | davao city",09974922357
"aquino, fernando | manila",+63936840271
"ramos, manuel | davao city",09369421929
"  Villanueva, Corazon   | Iloilo City",09392112611
"Reyes, Roberto | Malolos",0975295962
" villanueva, manuel  | quezon city",09564904254
"del rosario, maria | tarlac city",09721616682
"RAMOS, JUAN | MAKATI",9922141321
"DEL ROSARIO, MARIA | DAVAO CITY",09508415896
" ramos, pedro  | angeles city",09555212673
" pascual, rosa  | tagbilaran",09975684121
"  villanueva, josefina   | pasig",09349661345
"  CRUZ, MANUEL   | CEBU CITY",09410448251
" reyes, eduardo  | iloilo city",0953890456
"  mendoza, antonio   | bacolod",09297674225
"  GARCIA, ROBERTO   | MANILA",09753991578
